episode,speaker,line
Your Shoe's Untied,Gary,meow
Your Shoe's Untied,SpongeBob,gary uh uh i was just looking for the sports channel gary come in
Your Shoe's Untied,Patrick,hey spongebob wanna see my new shoes
Your Shoe's Untied,SpongeBob,wow those are great patrick let's see what they look like on your feet
Your Shoe's Untied,Patrick,uh wouldn't you rather see them on my hands
Your Shoe's Untied,SpongeBob,okay and we can wear gloves on our feet and hats on our captain's quarters too
Your Shoe's Untied,Patrick,uh actually i have a confession to make i don't know how to tie my shoelaces
Your Shoe's Untied,SpongeBob,do you know how lucky you are to have a friend like me
Your Shoe's Untied,Patrick,yes
Your Shoe's Untied,SpongeBob,look at this knot have you ever seen a more perfectly executed shoe-fastening bow
Your Shoe's Untied,Patrick,gosh probably not
Your Shoe's Untied,SpongeBob,i learned when i was just a boy patrick and i'm willing to pass on what i know go sit over there and let an old pro show you how to do it pay close attention patrick well you start by taking one lace per hand and then you uh you gotta loop the the
Your Shoe's Untied,Patrick,are you sure you know how to do it
Your Shoe's Untied,SpongeBob,patrick please shoe-tying requires peace and quiet okay where was i
Your Shoe's Untied,Patrick,your shoes are still untied
Your Shoe's Untied,SpongeBob,well i guess you don't want me to show you how to do it
Your Shoe's Untied,Patrick,i'm sorry i won't interrupt anymore
Your Shoe's Untied,SpongeBob,i've got it the first rule of shoe-tying is always start with your right foot now the lesson will officially begin that's knot right get it knot right hmm
Your Shoe's Untied,Patrick,no
Your Shoe's Untied,SpongeBob,okay no more fooling around i've got it
Your Shoe's Untied,Patrick,what was that are you okay spongebob
Your Shoe's Untied,SpongeBob,patrick aren't you late for something
Your Shoe's Untied,Patrick,oh poop deck you're right we'll have to do this lesson later bye spongebob
Your Shoe's Untied,SpongeBob,i can't believe i've forgotten how to tie my own shoes they've been tied as long as i can remember well i'll remember after a good night's sleep oh no big deal i'll remember sooner or later 'cause i'm ready i'm read y i'm read ooh i'm read uh i'm read ooy i'm read doy i'm read doy i'm read uh i'm read doy i'm read doy i'm read duh
Your Shoe's Untied,Patrick,oh hi spongebob
Your Shoe's Untied,SpongeBob,oh no i can't let patrick see i still haven't tied my shoes
Your Shoe's Untied,Patrick,hey spongebob you're shorter have you been dieting
Your Shoe's Untied,SpongeBob,well a sponge has to look his spongiest well i've gotta get to work oh barnacles maybe i should just lay here
Your Shoe's Untied,Squidward,those patties aren't going to cook themselves spongebob
Your Shoe's Untied,SpongeBob,he's right got to make krabby patties laces or no laces ah i just have to stand in this one spot ta-da a perfect patty
Your Shoe's Untied,Squidward,alright spongebob hand it over well
Your Shoe's Untied,SpongeBob,hey squidward i've got an idea how about you come get it
Your Shoe's Untied,Squidward,oh gee spongebob that's a great idea and maybe i should cook the patties and do the dishes and wear square pants and live in a pineapple while you wait in the unemployment line
Your Shoe's Untied,SpongeBob,no
Your Shoe's Untied,Squidward,then bring that patty here now
Your Shoe's Untied,SpongeBob,okay squidward here i come i'm coming over i'm bringing the patty to you here comes the patty no problem i'm walking the krabby patty over to squidward all right squidward i'm giving you the patty for the hungry customer so they can eat it when i give it to you which is right now
Your Shoe's Untied,Squidward,uh spongebob i'm over here now move
Your Shoe's Untied,SpongeBob,okay squidward just slowly move your leg walk over there with the dah
Your Shoe's Untied,Squidward,spongebob
Your Shoe's Untied,SpongeBob,i'm sorry squidward
